Name,Type,Cat.,Power,Acc.,PP,Effect,Prob. (%)
G-Max Meltdown,Steel,Null,Null,Infinite,5,Melmetal-exclusive G-Max Move. Prevents opponents using the same move twice in a row.,Null
G-Max One Blow,Dark,Null,Null,Infinite,5,Urshifu Single-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.,Null
G-Max Rapid Flow,Water,Null,Null,Infinite,5,Urshifu Rapid-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.,Null
G-Max Replenish,Normal,Null,Null,Infinite,5,Snorlax-exclusive G-Max Move. Recycles Berries.,Null
G-Max Resonance,Ice,Null,Null,Infinite,5,Lapras-exclusive G-Max Move. Reduces damage for 5 turns.,Null
G-Max Sandblast,Ground,Null,Null,Infinite,5,Sandaconda-exclusive G-Max Move. Traps opponents for 4-5 turns.,100
G-Max Smite,Fairy,Null,Null,Infinite,5,Hatterene-exclusive G-Max Move. Confuses opponents.,100
G-Max Snooze,Dark,Null,Null,Infinite,5,Grimmsnarl-exclusive G-Max Move. Makes opponents drowsy.,Null
G-Max Steelsurge,Steel,Null,Null,Infinite,5,Copperajah-exclusive G-Max Move. Sets up Spikes on the field.,Null
G-Max Stonesurge,Water,Null,Null,Infinite,5,Drednaw-exclusive G-Max Move. Sets up Stealth Rock.,Null
G-Max Stun Shock,Electric,Null,Null,Infinite,10,Toxtricity-exclusive G-Max Move. Poisons or paralyzes opponents.,100
G-Max Sweetness,Grass,Null,Null,Infinite,10,Appletun-exclusive G-Max Move. Heals status conditions of user's team.,Null
G-Max Tartness,Grass,Null,Null,Infinite,10,Flapple-exclusive G-Max Move. Reduces opponents' evasiveness.,100
G-Max Terror,Ghost,Null,Null,Infinite,10,Gengar-exclusive G-Max Move. Prevents opponent from switching out.,Null
G-Max Vine Lash,Grass,Null,Null,Infinite,10,Venusaur-exclusive G-Max Move. Damages non-Grass types for 4 turns.,Null
G-Max Volcalith,Rock,Null,Null,Infinite,10,Coalossal-exclusive G-Max Move. Deals damage for 4 turns.,100
G-Max Volt Crash,Electric,Null,Null,Infinite,10,Pikachu-exclusive G-Max Move. Paralyzes opponents.,100
G-Max Wildfire,Fire,Null,Null,Infinite,10,Charizard-exclusive G-Max Move. Damages non-Fire types for 4 turns.,100
G-Max Wind Rage,Flying,Null,Null,Infinite,10,Corviknight-exclusive G-Max Move. Removes battlefield hazards.,Null
Gastro Acid,Poison,Status,Null,100,10,Cancels out the effect of the opponent's Ability.,Null
Gear Grind,Steel,Physical,50,85,15,Hits twice in one turn.,Null
Gear Up,Steel,Status,Null,Null,20,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.,Null
Genesis Supernova,Psychic,Special,185,Null,1,Mew-exclusive Z-Move.,Null
Geomancy,Fairy,Status,Null,Null,10,"Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second.",Null
Giga Drain,Grass,Special,75,100,10,User recovers half the HP inflicted on opponent.,Null
Giga Impact,Normal,Physical,150,90,5,User must recharge next turn.,Null
Gigaton Hammer,Steel,Physical,160,100,5,Cannot be used twice in a row.,Null
Gigavolt Havoc,Electric,Null,Null,Null,1,Electric type Z-Move.,Null
Glacial Lance,Ice,Physical,120,100,5,The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.,Null
Glaciate,Ice,Special,65,95,10,Lowers opponent's Speed.,100
Glaive Rush,Dragon,Physical,120,100,5,Attacks from opposing Pokémon during the next turn cannot miss and will inflict double damage.,Null
Glare,Normal,Status,Null,100,30,Paralyzes opponent.,Null
Glitzy Glow,Psychic,Special,90,100,15,Reduces damage from Special attacks.,Null
Grass Knot,Grass,Special,Null,100,20,"The heavier the opponent, the stronger the attack.",Null
Grass Pledge,Grass,Special,80,100,10,Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.,Null
Grass Whistle,Grass,Status,Null,55,15,Puts opponent to sleep.,Null
Grassy Glide,Grass,Physical,55,100,20,High priority during Grassy Terrain.,Null
Grassy Terrain,Grass,Status,Null,Null,10,Restores a little HP of all Pokémon for 5 turns.,Null
Grav Apple,Grass,Physical,80,100,10,Lowers the opponent's Defense stat.,100
Gravity,Psychic,Status,Null,Null,5,Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.,Null
Growl,Normal,Status,Null,100,40,Lowers opponent's Attack.,Null
Growth,Normal,Status,Null,Null,20,Raises user's Attack and Special Attack.,Null
Grudge,Ghost,Status,Null,Null,5,"If the users faints after using this move, the PP for the opponent's last move is depleted.",Null
Guard Split,Psychic,Status,Null,Null,10,Averages Defense and Special Defense with the target.,Null
Guard Swap,Psychic,Status,Null,Null,10,User and opponent swap Defense and Special Defense.,Null
Guardian of Alola,Fairy,Special,Null,Null,1,Tapu-exclusive Z-move. Cuts opponent's HP by 75%.,Null
Guillotine,Normal,Physical,Null,30,5,"One-Hit-KO, if it hits.",Null
Gunk Shot,Poison,Physical,120,80,5,May poison opponent.,30
Gust,Flying,Special,40,100,35,Hits Pokémon using Fly/Bounce/Sky Drop with double power.,Null
Gyro Ball,Steel,Physical,Null,100,5,"The slower the user, the stronger the attack.",Null
Hail,Ice,Status,Null,Null,10,Non-Ice types are damaged for 5 turns.,Null
Hammer Arm,Fighting,Physical,100,90,10,Lowers user's Speed.,100
Happy Hour,Normal,Status,Null,Null,30,Doubles prize money from trainer battles.,Null
Hard Press,Steel,Physical,Null,100,10,,Null
Harden,Normal,Status,Null,Null,30,Raises user's Defense.,Null
Haze,Ice,Status,Null,Null,30,Resets all stat changes.,Null
Head Charge,Normal,Physical,120,100,15,User receives recoil damage.,Null
Head Smash,Rock,Physical,150,80,5,User receives recoil damage.,Null
Headbutt,Normal,Physical,70,100,15,May cause flinching.,30
Headlong Rush,Ground,Physical,120,100,5,Lowers user's Defense.,Null
Heal Bell,Normal,Status,Null,Null,5,Heals the user's party's status conditions.,Null
Heal Block,Psychic,Status,Null,100,15,Prevents the opponent from restoring HP for 5 turns.,Null
Heal Order,Bug,Status,Null,Null,10,User recovers half its max HP.,Null
Heal Pulse,Psychic,Status,Null,Null,10,Restores half the target's max HP.,Null
Healing Wish,Psychic,Status,Null,Null,10,The user faints and the next Pokémon released is fully healed.,Null
Heart Stamp,Psychic,Physical,60,100,25,May cause flinching.,30
Heart Swap,Psychic,Status,Null,Null,10,Stat changes are swapped with the opponent.,Null
Heat Crash,Fire,Physical,Null,100,10,"The heavier the user, the stronger the attack.",Null
Heat Wave,Fire,Special,95,90,10,May burn opponent.,10
Heavy Slam,Steel,Physical,Null,100,10,"The heavier the user, the stronger the attack.",Null
Helping Hand,Normal,Status,Null,Null,20,"In Double Battles, boosts the power of the partner's move.",Null
Hex,Ghost,Special,65,100,10,Inflicts more damage if the target has a status condition.,Null
Hidden Power,Normal,Special,60,100,15,Type and power depends on user's IVs.,Null
High Horsepower,Ground,Physical,95,95,10,The user fiercely attacks the target using its entire body.,Null
High Jump Kick,Fighting,Physical,130,90,10,"If it misses, the user loses half their HP.",Null
Hold Back,Normal,Physical,40,100,40,Always leaves opponent with at least 1 HP.,Null
Hold Hands,Normal,Status,Null,Null,40,Makes the user and an ally very happy.,Null
Hone Claws,Dark,Status,Null,Null,15,Raises user's Attack and Accuracy.,Null
Horn Attack,Normal,Physical,65,100,25,,Null
Horn Drill,Normal,Physical,Null,30,5,"One-Hit-KO, if it hits.",Null
Horn Leech,Grass,Physical,75,100,10,User recovers half the HP inflicted on opponent.,Null
Howl,Normal,Status,Null,Null,40,Raises Attack of allies.,Null
Hurricane,Flying,Special,110,70,10,May confuse opponent.,30
Hydro Cannon,Water,Special,150,90,5,User must recharge next turn.,Null
Hydro Pump,Water,Special,110,80,5,,Null
Hydro Steam,Water,Special,80,100,15,Power increases in harsh sunlight.,Null
Hydro Vortex,Water,Null,Null,Null,1,Water type Z-Move.,Null
Hyper Beam,Normal,Special,150,90,5,User must recharge next turn.,Null
Hyper Drill,Normal,Physical,100,100,5,Can strike through Protect/Detect.,Null
Hyper Fang,Normal,Physical,80,90,15,May cause flinching.,10
Hyper Voice,Normal,Special,90,100,10,,Null
Hyperspace Fury,Dark,Physical,100,Infinite,5,Lowers user's Defense. Can strike through Protect/Detect.,100
Hyperspace Hole,Psychic,Special,80,Infinite,5,Can strike through Protect/Detect.,Null
Hypnosis,Psychic,Status,Null,60,20,Puts opponent to sleep.,Null
Ice Ball,Ice,Physical,30,90,20,Doubles in power each turn for 5 turns.,Null
Ice Beam,Ice,Special,90,100,10,May freeze opponent.,10
Ice Burn,Ice,Special,140,90,5,"Charges on first turn, attacks on second. May burn opponent.",30
Ice Fang,Ice,Physical,65,95,15,May cause flinching and/or freeze opponent.,10
Ice Hammer,Ice,Physical,100,90,10,"The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.",100
Ice Punch,Ice,Physical,75,100,15,May freeze opponent.,10
Ice Shard,Ice,Physical,40,100,30,User attacks first.,Null
Ice Spinner,Ice,Physical,80,100,15,Removes effects of Terrain.,Null
Icicle Crash,Ice,Physical,85,90,10,May cause flinching.,30
Icicle Spear,Ice,Physical,25,100,30,Hits 2-5 times in one turn.,Null
Icy Wind,Ice,Special,55,95,15,Lowers opponent's Speed.,100
Imprison,Psychic,Status,Null,Null,10,Opponent is unable to use moves that the user also knows.,Null
Incinerate,Fire,Special,60,100,15,Destroys the target's held berry.,Null
Infernal Parade,Ghost,Special,60,100,15,Inflicts double damage if the target has a status condition.,Null
Inferno,Fire,Special,100,50,5,Burns opponent.,100
Inferno Overdrive,Fire,Null,Null,Null,1,Fire type Z-Move.,Null
Infestation,Bug,Special,20,100,20,"Traps opponent, damaging them for 4-5 turns.",100
Ingrain,Grass,Status,Null,Null,20,User restores HP each turn. User cannot escape/switch.,Null
Instruct,Psychic,Status,Null,Null,15,Allows an ally to use a move instead.,Null
Ion Deluge,Electric,Status,Null,Null,25,Changes Normal-type moves to Electric-type.,Null
Iron Defense,Steel,Status,Null,Null,15,Sharply raises user's Defense.,Null
Iron Head,Steel,Physical,80,100,15,May cause flinching.,30
Iron Tail,Steel,Physical,100,75,15,May lower opponent's Defense.,30
Ivy Cudgel,Grass,Physical,100,Null,Null,High critical hit ratio. Type changes based on form.,Null
Jaw Lock,Dark,Physical,80,100,10,Prevents user and opponent from switching out.,Null
Jet Punch,Water,Physical,60,100,15,Always goes first.,Null
Judgment,Normal,Special,100,100,10,Type depends on the Arceus Plate being held.,Null
Jump Kick,Fighting,Physical,100,95,10,"If it misses, the user loses half their HP.",Null
Jungle Healing,Grass,Status,Null,Null,10,Restores team's HP and cures status conditions.,Null
Karate Chop,Fighting,Physical,50,100,25,High critical hit ratio.,Null
Kinesis,Psychic,Status,Null,80,15,Lowers opponent's Accuracy.,Null
King's Shield,Steel,Status,Null,Null,10,Protects the user and lowers opponent's Attack on contact.,Null
Knock Off,Dark,Physical,65,100,20,Removes opponent's held item for the rest of the battle.,Null
Kowtow Cleave,Dark,Physical,85,Infinite,10,Always hits.,Null
Land's Wrath,Ground,Physical,90,100,10,,Null
Laser Focus,Normal,Status,Null,Null,30,User's next attack is guaranteed to result in a critical hit.,Null
Lash Out,Dark,Physical,75,100,5,Double power if stats were lowered during the turn.,Null
Last Resort,Normal,Physical,140,100,5,Can only be used after all other moves are used.,Null
Last Respects,Ghost,Physical,50,100,10,Damages increases the more party Pokémon have been defeated.,Null
Lava Plume,Fire,Special,80,100,15,May burn opponent.,30
Leaf Blade,Grass,Physical,90,100,15,High critical hit ratio.,Null
Leaf Storm,Grass,Special,130,90,5,Sharply lowers user's Special Attack.,100
Leaf Tornado,Grass,Special,65,90,10,May lower opponent's Accuracy.,50
Leafage,Grass,Physical,40,100,40,Strikes opponent with leaves.,Null
Leech Life,Bug,Physical,80,100,10,User recovers half the HP inflicted on opponent.,Null
Leech Seed,Grass,Status,Null,90,10,Drains HP from opponent each turn.,Null
Leer,Normal,Status,Null,100,30,Lowers opponent's Defense.,100
Let's Snuggle Forever,Fairy,Physical,190,Null,1,Mimikyu-exclusive Z-Move.,Null
Lick,Ghost,Physical,30,100,30,May paralyze opponent.,30
Life Dew,Water,Status,Null,Null,10,User and teammates recover HP.,Null
Light of Ruin,Fairy,Special,140,90,5,User receives recoil damage.,Null
Light Screen,Psychic,Status,Null,Null,30,Halves damage from Special attacks for 5 turns.,Null
Light That Burns the Sky,Psychic,Special,200,Null,1,Ultra Necrozma-exclusive Z-Move. Ignores target's ability; uses highest Attack stat.,Null
Liquidation,Water,Physical,85,100,10,May lower opponent's Defense.,20
Lock-On,Normal,Status,Null,Null,5,User's next attack is guaranteed to hit.,Null
Lovely Kiss,Normal,Status,Null,75,10,Puts opponent to sleep.,Null
Low Kick,Fighting,Physical,Null,100,20,"The heavier the opponent, the stronger the attack.",Null
Low Sweep,Fighting,Physical,65,100,20,Lowers opponent's Speed.,100
Lucky Chant,Normal,Status,Null,Null,30,Opponent cannot land critical hits for 5 turns.,Null
Lumina Crash,Psychic,Special,80,100,10,Harshly lowers target’s Special Defense.,Null
Lunar Blessing,Psychic,Status,Null,Null,5,Heals user's status conditions and recovers HP.,Null
Lunar Dance,Psychic,Status,Null,Null,10,The user faints but the next Pokémon released is fully healed.,Null
Lunge,Bug,Physical,80,100,15,"The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat.",100
Luster Purge,Psychic,Special,95,100,5,May lower opponent's Special Defense.,50
Mach Punch,Fighting,Physical,40,100,30,User attacks first.,Null
Magic Coat,Psychic,Status,Null,Null,15,Reflects moves that cause status conditions back to the attacker.,Null
Magic Powder,Psychic,Status,Null,100,20,Changes target's type to Psychic.,Null
Magic Room,Psychic,Status,Null,Null,10,Suppresses the effects of held items for five turns.,Null
Magical Leaf,Grass,Special,60,Infinite,20,Ignores Accuracy and Evasiveness.,Null
Magical Torque,Fairy,Physical,100,100,10,May confuse the opponent.,Null
Magma Storm,Fire,Special,100,75,5,"Traps opponent, damaging them for 4-5 turns.",100
Magnet Bomb,Steel,Physical,60,Infinite,20,Ignores Accuracy and Evasiveness.,Null
Magnet Rise,Electric,Status,Null,Null,10,User becomes immune to Ground-type moves for 5 turns.,Null
Magnetic Flux,Electric,Status,Null,Null,20,Raises Defense and Sp. Defense of Plus/Minus Pokémon.,Null
Magnitude,Ground,Physical,Null,100,30,Hits with random power.,Null
Make It Rain,Steel,Special,120,100,5,Lowers user's Special Attack. Money is earned after the battle.,Null
Malicious Moonsault,Dark,Physical,180,Null,1,Incineroar-exclusive Z-Move.,Null
Malignant Chain,Poison,Special,100,100,5,May poison the opponent.,Null
Mat Block,Fighting,Status,Null,Null,10,Protects teammates from damaging moves.,Null
Matcha Gotcha,Grass,Special,80,90,15,"Deals damage, restores HP, may burn opponent.",20
Max Airstream,Flying,Null,Null,Null,Null,Flying type Dynamax move. Raises the team's Speed.,100
Max Darkness,Dark,Null,Null,Null,Null,Dark type Dynamax move. Lowers the target's Special Defense.,100
Max Flare,Fire,Null,Null,Null,Null,Fire type Dynamax move. Summons harsh sunlight.,Null
Max Flutterby,Bug,Null,Null,Null,Null,Bug type Dynamax move. Lowers the target's Special Attack.,100
Max Geyser,Water,Null,Null,Null,Null,Water type Dynamax move. Summons heavy rain.,Null
Max Guard,Normal,Null,Null,Null,Null,Status category Dynamax move. Protects the user.,Null
Max Hailstorm,Ice,Null,Null,Null,Null,Ice type Dynamax move. Summons hail.,Null
Max Knuckle,Fighting,Null,Null,Null,Null,Fighting type Dynamax move. Increases the team's Attack.,100
Max Lightning,Electric,Null,Null,Null,Null,Electric type Dynamax move. Summons Electric Terrain.,Null
Max Mindstorm,Psychic,Null,Null,Null,Null,Psychic type Dynamax move. Summons Psychic Terrain.,Null
Max Ooze,Poison,Null,Null,Null,Null,Poison type Dynamax move. Increases the team's Special Attack.,100
Max Overgrowth,Grass,Null,Null,Null,Null,Grass type Dynamax move. Summons Grassy Terrain.,Null
Max Phantasm,Ghost,Null,Null,Null,Null,Ghost type Dynamax move. Lowers the target's Defense.,100
Max Quake,Ground,Null,Null,Null,Null,Ground type Dynamax move. Increases the team's Special Defense.,100
Max Rockfall,Rock,Null,Null,Null,Null,Rock type Dynamax move. Summons a sandstorm.,Null
Max Starfall,Fairy,Null,Null,Null,Null,Fairy type Dynamax move. Summons Misty Terrain.,Null
Max Steelspike,Steel,Null,Null,Null,Null,Steel type Dynamax move. Raises the team's Defense.,100
Max Strike,Normal,Null,Null,Null,Null,Normal type Dynamax move. Lowers the target's Speed.,100
Max Wyrmwind,Dragon,Null,Null,Null,Null,Dragon type Dynamax move. Lowers the target's Attack.,100
Me First,Normal,Status,Null,Null,20,User copies the opponent's attack with 1.5× power.,Null
Mean Look,Normal,Status,Null,Null,5,Opponent cannot flee or switch.,Null
Meditate,Psychic,Status,Null,Null,40,Raises user's Attack.,Null
Mega Drain,Grass,Special,40,100,15,User recovers half the HP inflicted on opponent.,Null
Mega Kick,Normal,Physical,120,75,5,,Null
Mega Punch,Normal,Physical,80,85,20,,Null
Megahorn,Bug,Physical,120,85,10,,Null
Memento,Dark,Status,Null,100,10,"User faints, sharply lowers opponent's Attack and Special Attack.",Null
Menacing Moonraze Maelstrom,Ghost,Special,200,Null,1,Lunala-exclusive Z-Move.,Null
Metal Burst,Steel,Physical,Null,100,10,Deals damage equal to 1.5x opponent's attack.,Null
Metal Claw,Steel,Physical,50,95,35,May raise user's Attack.,10
Metal Sound,Steel,Status,Null,85,40,Sharply lowers opponent's Special Defense.,Null
Meteor Assault,Fighting,Physical,150,100,5,User must recharge next turn.,Null
Meteor Beam,Rock,Special,120,90,10,"User gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn.",Null
Meteor Mash,Steel,Physical,90,90,10,May raise user's Attack.,20
Metronome,Normal,Status,Null,Null,10,User performs almost any move in the game at random.,Null
Mighty Cleave,Rock,Physical,95,100,5,,Null
Milk Drink,Normal,Status,Null,Null,5,User recovers half its max HP.,Null
Mimic,Normal,Status,Null,Null,10,Copies the opponent's last move.,Null
Mind Blown,Fire,Special,150,100,5,User receives recoil damage.,Null
Mind Reader,Normal,Status,Null,Null,5,User's next attack is guaranteed to hit.,Null
Minimize,Normal,Status,Null,Null,10,Sharply raises user's Evasiveness.,Null
Miracle Eye,Psychic,Status,Null,Null,40,"Resets opponent's Evasiveness, removes Dark's Psychic immunity.",Null
Mirror Coat,Psychic,Special,Null,100,20,"When hit by a Special Attack, user strikes back with 2x power.",Null
Mirror Move,Flying,Status,Null,Null,20,User performs the opponent's last move.,Null
Mirror Shot,Steel,Special,65,85,10,May lower opponent's Accuracy.,30
Mist,Ice,Status,Null,Null,30,User's stats cannot be changed for a period of time.,Null
Mist Ball,Psychic,Special,95,100,5,May lower opponent's Special Attack.,50
Misty Explosion,Fairy,Special,100,100,5,Power increases on Misty Terrain.,Null
Misty Terrain,Fairy,Status,Null,Null,10,Protects the field from status conditions for 5 turns.,Null
Moonblast,Fairy,Special,95,100,15,May lower opponent's Special Attack.,30
Moongeist Beam,Ghost,Special,100,100,5,Ignores the target's ability.,Null
Moonlight,Fairy,Status,Null,Null,5,User recovers HP. Amount varies with the weather.,Null
Morning Sun,Normal,Status,Null,Null,5,User recovers HP. Amount varies with the weather.,Null
Mortal Spin,Poison,Physical,30,100,15,"Removes entry hazards and trap move effects, and poisons opposing Pokémon.",Null
Mountain Gale,Ice,Physical,100,85,10,Lowers user's Speed.,Null
Mud Bomb,Ground,Special,65,85,10,May lower opponent's Accuracy.,30
Mud Shot,Ground,Special,55,95,15,Lowers opponent's Speed.,100
Mud Sport,Ground,Status,Null,Null,15,Weakens the power of Electric-type moves.,Null
Mud-Slap,Ground,Special,20,100,10,Lowers opponent's Accuracy.,100
Muddy Water,Water,Special,90,85,10,May lower opponent's Accuracy.,30
Multi-Attack,Normal,Physical,120,100,10,Type matches Memory item held.,Null
Mystical Fire,Fire,Special,75,100,10,Lowers opponent's Special Attack.,100
Mystical Power,Psychic,Special,70,90,10,Raises user's Special Attack.,Null
Nasty Plot,Dark,Status,Null,Null,20,Sharply raises user's Special Attack.,Null
Natural Gift,Normal,Physical,Null,100,15,Power and type depend on the user's held berry.,Null
Nature Power,Normal,Status,Null,Null,20,Uses a certain move based on the current terrain.,Null
Nature's Madness,Fairy,Special,Null,90,10,Halves the foe's HP.,Null
Needle Arm,Grass,Physical,60,100,15,May cause flinching.,30
Never-Ending Nightmare,Ghost,Null,Null,Null,1,Ghost type Z-Move.,Null
Night Daze,Dark,Special,85,95,10,May lower opponent's Accuracy.,40
Night Shade,Ghost,Special,Null,100,15,Inflicts damage equal to user's level.,Null
Night Slash,Dark,Physical,70,100,15,High critical hit ratio.,Null
Nightmare,Ghost,Status,Null,100,15,The sleeping opponent loses 25% of its max HP each turn.,Null
No Retreat,Fighting,Status,Null,Null,5,Raises all stats but user cannot switch out.,100
Noble Roar,Normal,Status,Null,100,30,Lowers opponent's Attack and Special Attack.,100
Noxious Torque,Poison,Physical,100,100,10,May poison the opponent.,Null
Nuzzle,Electric,Physical,20,100,20,Paralyzes opponent.,100
Oblivion Wing,Flying,Special,80,100,10,User recovers most of the HP inflicted on opponent.,Null
Obstruct,Dark,Status,Null,100,10,Protects the user and sharply lowers Defence on contact.,Null
Oceanic Operetta,Water,Special,195,Null,1,Primarina-exclusive Z-Move.,Null
Octazooka,Water,Special,65,85,10,May lower opponent's Accuracy.,50
Octolock,Fighting,Status,Null,100,15,"Lowers opponent's Defense and Special Defense every turn, and they cannot flee or switch out.",Null
Odor Sleuth,Normal,Status,Null,Null,40,"Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts.",Null
Ominous Wind,Ghost,Special,60,100,5,May raise all user's stats at once.,10
Order Up,Dragon,Physical,80,100,10,Boosts Attack/Defense/Speed depending on ally Tatsugiri.,Null
Origin Pulse,Water,Special,110,85,10,Hits all adjacent opponents.,Null
Outrage,Dragon,Physical,120,100,10,User attacks for 2-3 turns but then becomes confused.,Null
Overdrive,Electric,Special,80,100,10,Hits all adjacent opponents.,Null
Overheat,Fire,Special,130,90,5,Sharply lowers user's Special Attack.,100
Pain Split,Normal,Status,Null,Null,20,The user's and opponent's HP becomes the average of both.,Null
Parabolic Charge,Electric,Special,65,100,20,User recovers half the HP inflicted on opponent.,Null
Parting Shot,Dark,Status,Null,100,20,Lowers opponent's Attack and Special Attack then switches out.,100
Pay Day,Normal,Physical,40,100,20,Money is earned after the battle.,Null
Payback,Dark,Physical,50,100,10,Power doubles if the user was attacked first.,Null
Peck,Flying,Physical,35,100,35,,Null
Perish Song,Normal,Status,Null,Null,5,Any Pokémon in play when this attack is used faints in 3 turns.,Null
Petal Blizzard,Grass,Physical,90,100,15,Hits all adjacent Pokémon.,Null
Petal Dance,Grass,Special,120,100,10,User attacks for 2-3 turns but then becomes confused.,Null
Phantom Force,Ghost,Physical,90,100,10,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.",Null
Photon Geyser,Psychic,Special,100,100,5,"Uses Attack or Special Attack stat, whichever is higher.",Null
Pika Papow,Electric,Special,Null,Infinite,20,Power increases when player's bond is stronger.,Null
Pin Missile,Bug,Physical,25,95,20,Hits 2-5 times in one turn.,Null
Plasma Fists,Electric,Physical,100,100,15,Changes Normal-type moves to Electric-type moves.,Null
Play Nice,Normal,Status,Null,Null,20,Lowers opponent's Attack. Always hits.,100
Play Rough,Fairy,Physical,90,90,10,May lower opponent's Attack.,10
Pluck,Flying,Physical,60,100,20,"If the opponent is holding a berry, its effect is stolen by user.",Null
Poison Fang,Poison,Physical,50,100,15,May badly poison opponent.,50
Poison Gas,Poison,Status,Null,90,40,Poisons opponent.,Null
Poison Jab,Poison,Physical,80,100,20,May poison the opponent.,30
Poison Powder,Poison,Status,Null,75,35,Poisons opponent.,Null
Poison Sting,Poison,Physical,15,100,35,May poison the opponent.,30
Poison Tail,Poison,Physical,50,100,25,High critical hit ratio. May poison opponent.,10
Pollen Puff,Bug,Special,90,100,15,Deals damage to opponent or restores HP of teammate.,Null
Poltergeist,Ghost,Physical,110,90,5,Fails if the target doesn’t have an item.,Null
Population Bomb,Normal,Physical,20,90,10,Hits 1-10 times in a row.,Null
Pounce,Bug,Physical,50,100,20,Lowers opponent's Speed.,100
Pound,Normal,Physical,40,100,35,,Null
Powder,Bug,Status,Null,100,20,Damages Pokémon using Fire type moves.,Null
Powder Snow,Ice,Special,40,100,25,May freeze opponent.,10
Power Gem,Rock,Special,80,100,20,,Null
Power Shift,Normal,Status,Null,Null,10,Switches Attack and Defense stats.,Null
Power Split,Psychic,Status,Null,Null,10,Averages Attack and Special Attack with the target.,Null
Power Swap,Psychic,Status,Null,Null,10,User and opponent swap Attack and Special Attack.,Null
Power Trick,Psychic,Status,Null,Null,10,User's own Attack and Defense switch.,Null
Power Trip,Dark,Physical,20,100,10,"The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.",Null
Power Whip,Grass,Physical,120,85,10,,Null
Power-Up Punch,Fighting,Physical,40,100,20,Raises Attack.,100
Precipice Blades,Ground,Physical,120,85,10,Hits all adjacent opponents.,Null
Present,Normal,Physical,Null,90,15,Either deals damage or heals.,Null
Prismatic Laser,Psychic,Special,160,100,10,The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.,Null
Protect,Normal,Status,Null,Null,10,"Protects the user, but may fail if used consecutively.",Null
Psybeam,Psychic,Special,65,100,20,May confuse opponent.,10
